soil-type/bulk-density,1.1,1.3,1.5,1.7,1.9
Ss,,375,280,150,
Sl2,,160,100,50,30
Sl3,,100,70,40,20
Sl4,,80,50,30,15
Slu,,70,40,20,8
St2,,180,120,60,35
St3,,110,60,30,18
Su2,,185,125,65,30
Su3,,95,60,30,18
Su4,,85,55,30,15
Ls2,70,50,30,15,5
Ls3,80,60,35,20,8
Ls4,90,70,40,25,10
Lt2,60,40,25,10,
Lt3,35,20,10,3,
Lts,45,30,20,5,
Lu,50,35,20,8,
Uu,40,30,18,4,
Uls,50,35,20,7,
Us,45,30,15,5,
Ut2,50,30,15,3,
Ut3,50,30,15,3,
Ut4,50,30,12,2,
Tt,40,10,0.9,,
Tl,50,20,3,0.9,
Tu2,50,18,5,0.9,
Tu3,55,20,5,0.9,
Tu4,60,25,5,1,
Ts2,50,30,15,5,
Ts3,55,35,20,8,
Ts4,80,50,30,10,
fS,,250,150,90,
mS,,375,250,150,
gS,,1100,380,250,
